code,name,weight,exchange
601318 CH Equity,Ping An Insurance Group Co of China Ltd,6.714872,Shanghai
600519 CH Equity,Kweichow Moutai Co Ltd,4.311638,Shanghai
600036 CH Equity,China Merchants Bank Co Ltd,2.811534,Shanghai
000651 CH Equity,Gree Electric Appliances Inc of Zhuhai,2.28923,Shenzhen
601166 CH Equity,Industrial Bank Co Ltd,2.088464,Shanghai
000333 CH Equity,Midea Group Co Ltd,2.052222,Shenzhen
600276 CH Equity,Jiangsu Hengrui Pharmaceuticals Co Ltd,1.965367,Shanghai
000858 CH Equity,Wuliangye Yibin Co Ltd,1.87243,Shenzhen
600030 CH Equity,CITIC Securities Co Ltd,1.444384,Shanghai
600887 CH Equity,Inner Mongolia Yili Industrial Group Co Ltd,1.368312,Shanghai
000002 CH Equity,China Vanke Co Ltd,1.361854,Shenzhen
600900 CH Equity,China Yangtze Power Co Ltd,1.173188,Shanghai
000001 CH Equity,Ping An Bank Co Ltd,1.157736,Shenzhen
600016 CH Equity,China Minsheng Banking Corp Ltd,1.13614,Shanghai
601328 CH Equity,Bank of Communications Co Ltd,1.122006,Shanghai
600000 CH Equity,Shanghai Pudong Development Bank Co Ltd,1.053436,Shanghai
601288 CH Equity,Agricultural Bank of China Ltd,1.025345,Shanghai
601398 CH Equity,Industrial & Commercial Bank of China Ltd,0.919912,Shanghai
600837 CH Equity,Haitong Securities Co Ltd,0.907428,Shanghai
300498 CH Equity,Wens Foodstuffs Group Co Ltd,0.906244,Shenzhen
002415 CH Equity,Hangzhou Hikvision Digital Technology Co Ltd,0.887683,Shenzhen
601601 CH Equity,China Pacific Insurance Group Co Ltd,0.862747,Shanghai
601668 CH Equity,China State Construction Engineering Corp Ltd,0.855546,Shanghai
002475 CH Equity,Luxshare Precision Industry Co Ltd,0.849682,Shenzhen
600048 CH Equity,Poly Developments and Holdings Group Co Ltd,0.840136,Shanghai
600585 CH Equity,Anhui Conch Cement Co Ltd,0.79491,Shanghai
000725 CH Equity,BOE Technology Group Co Ltd,0.780566,Shenzhen
600031 CH Equity,Sany Heavy Industry Co Ltd,0.729152,Shanghai
601688 CH Equity,Huatai Securities Co Ltd,0.650335,Shanghai
600309 CH Equity,Wanhua Chemical Group Co Ltd,0.6396,Shanghai
603288 CH Equity,Foshan Haitian Flavouring & Food Co Ltd,0.631732,Shanghai
601888 CH Equity,China Tourism Group Duty Free Corp Ltd,0.629856,Shanghai
300059 CH Equity,East Money Information Co Ltd,0.614535,Shenzhen
