csad,cssd,r_m,r_m_abs,r_m_sqr,stringencyindex_weightedaverage,c6e_stayathomerequirements,D25Upper,D10Upper,D5Upper,populationvaccinated,rolling_deaths,cases
1.410459,.124775,.4661731,.4661731,.240477,.2639,0,0,0,0,0,2.285714,147
1.514365,.1266564,-3.202302,3.202302,10.10026,.4491,1,0,0,0,0,2.428571,132
2.069002,.1710406,-8.977271,8.977271,80.15728,.7731,3,0,0,0,0,49,2827
2.901235,.2111366,1.585229,1.585229,2.590299,.7731,3,0,0,0,0,51.42857,3233
1.631199,.1330074,1.643764,1.643764,2.782141,.7731,3,0,0,0,0,61.42857,3892
1.619229,.1327966,2.096705,2.096705,4.498287,.7731,3,0,0,0,0,66,3697
1.634138,.1362755,.2849634,.2849634,.095589,.7731,3,0,0,0,0,72.14286,3151
1.675074,.1377576,.7818024,.7818024,.6496583,.7546,3,0,0,0,0,83.85714,2984
1.455169,.1198202,.3854368,.3854368,.1678116,.7546,3,0,0,0,0,88.71429,2473
1.2368,.1124529,1.112996,1.112996,1.293239,.7546,3,0,0,0,0,79.14286,2022
1.41429,.12062,-.5771469,.5771469,.3057377,.7546,3,0,0,0,0,105.1429,15152
1.403679,.1195354,.7183107,.7183107,.551339,.7546,3,0,0,0,0,114.7143,4050
1.653049,.1286762,2.744392,2.744392,7.665164,.7546,3,0,0,0,0,121.8571,2051
1.310853,.1075304,-.0770902,.0770902,.0027962,.7546,3,0,0,0,0,127.4286,1893
1.556367,.1313622,-.4640046,.4640046,.1934181,.7546,3,0,0,0,0,142.8571,1750
1.89192,.1458718,2.236565,2.236565,5.111112,.7546,3,0,0,0,0,124.2857,397
1.553436,.1231448,.4847508,.4847508,.2590425,.7546,3,0,0,0,0,102.5714,893
2.029439,.1660829,-.0677226,.0677226,.0018932,.7546,3,0,0,0,0,104.4286,220
2.04481,.1614496,-.2346843,.2346843,.0442989,.8102,3,1,1,0,0,94.57143,517
2.694575,.2079549,-1.246148,1.246148,1.493129,.8102,3,1,1,0,0,85.85714,411
1.472219,.1284845,.0150382,.0150382,.0015405,.8102,3,1,1,0,0,72.57143,440
2.09234,.1579994,-4.055752,4.055752,16.25332,.8102,3,1,1,0,0,78.85714,329
1.763829,.1332415,3.534148,3.534148,12.66192,.8102,3,1,1,0,0,45.57143,206
1.250888,.1006519,.5410311,.5410311,.3194991,.8102,3,1,1,0,0,40.28571,128
1.595462,.1310826,.7398952,.7398952,.5838589,.8102,3,1,1,0,0,38,120
1.390474,.1125293,1.816296,1.816296,3.387468,.8102,3,1,1,0,0,38.42857,143
1.341022,.1061721,-1.48936,1.48936,2.146662,.8102,3,1,1,0,0,36.28571,145
1.767244,.1411251,-3.568884,3.568884,12.5647,.8102,3,1,1,0,0,29.85714,45
1.64827,.130564,2.113343,2.113343,4.569137,.8102,3,1,1,0,0,27.42857,20
1.353952,.1112091,-1.176668,1.176668,1.328155,.8102,3,1,1,0,0,25.42857,31
1.362003,.1127805,-1.944813,1.944813,3.688709,.8102,3,1,1,0,0,22.42857,25
1.20794,.1090595,-1.234859,1.234859,1.465667,.8102,3,1,1,0,0,19.42857,11
2.31476,.1669765,-4.291866,4.291866,18.21288,.7917,3,1,1,0,0,13.42857,29
