,Date,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated
0,20200101,0.0,0.0,0.0
1,20200102,0.0,0.0,0.0
2,20200103,0.0,0.0,0.0
3,20200104,0.0,0.0,0.0
4,20200105,0.0,0.0,0.0
5,20200106,0.0,0.0,0.0
6,20200107,0.0,0.0,0.0
7,20200108,0.0,0.0,0.0
8,20200109,0.0,0.0,0.0
9,20200110,0.0,0.0,0.0
10,20200111,0.0,0.0,0.0
11,20200112,0.0,0.0,0.0
12,20200113,0.0,0.0,0.0
13,20200114,0.0,0.0,0.0
14,20200115,0.0,0.0,0.0
15,20200116,0.0,0.0,0.0
16,20200117,0.0,0.0,0.0
17,20200118,0.0,0.0,0.0
18,20200119,0.0,0.0,0.0
19,20200120,0.0,0.0,0.0
20,20200121,0.0,0.0,0.0
21,20200122,26.39,0.0,0.0
22,20200123,44.91,1.0,0.0
23,20200124,44.91,1.0,0.0
24,20200125,47.69,1.0,0.0
25,20200126,69.91,1.0,0.0
26,20200127,69.91,1.0,0.0
27,20200128,69.91,1.0,0.0
28,20200129,69.91,1.0,0.0
29,20200130,69.91,1.0,0.0
30,20200131,69.91,1.0,0.0
31,20200201,77.31,3.0,0.0
32,20200202,77.31,3.0,0.0
33,20200203,77.31,3.0,0.0
34,20200204,77.31,3.0,0.0
35,20200205,77.31,3.0,0.0
36,20200206,77.31,3.0,0.0
37,20200207,77.31,3.0,0.0
38,20200208,77.31,3.0,0.0
39,20200209,77.31,3.0,0.0
40,20200210,75.46,3.0,0.0
41,20200211,75.46,3.0,0.0
42,20200212,75.46,3.0,0.0
43,20200213,75.46,3.0,0.0
44,20200214,75.46,3.0,0.0
45,20200215,75.46,3.0,0.0
46,20200216,75.46,3.0,0.0
47,20200217,75.46,3.0,0.0
48,20200218,75.46,3.0,0.0
49,20200219,75.46,3.0,0.0
50,20200220,75.46,3.0,0.0
51,20200221,75.46,3.0,0.0
52,20200222,75.46,3.0,0.0
53,20200223,75.46,3.0,0.0
54,20200224,75.46,3.0,0.0
55,20200225,81.02,3.0,0.0
56,20200226,81.02,3.0,0.0
57,20200227,81.02,3.0,0.0
58,20200228,81.02,3.0,0.0
59,20200229,81.02,3.0,0.0
60,20200301,81.02,3.0,0.0
61,20200302,81.02,3.0,0.0
62,20200303,81.02,3.0,0.0
63,20200304,81.02,3.0,0.0
64,20200305,81.02,3.0,0.0
65,20200306,81.02,3.0,0.0
66,20200307,81.02,3.0,0.0
67,20200308,81.02,3.0,0.0
68,20200309,81.02,3.0,0.0
69,20200310,81.02,3.0,0.0
70,20200311,81.02,3.0,0.0
71,20200312,81.02,3.0,0.0
